,accuracy_score(train),precision_score(train),recall_score(train),f1_score(train),accuracy_score(test),precision_score(test),recall_score(test),f1_score(test)
100,0.982502853,0.994371482,0.963636364,0.978762696,0.671732523,0.644670051,0.465201465,0.540425532
101,0.981361734,0.99342723,0.961818182,0.977367206,0.635258359,0.582914573,0.424908425,0.491525424
102,0.981742107,0.998106061,0.958181818,0.977736549,0.670212766,0.64,0.468864469,0.541226216
103,0.984404717,0.997183099,0.965454545,0.981062356,0.659574468,0.616113744,0.476190476,0.537190083
104,0.976036516,0.993339676,0.949090909,0.970711297,0.655015198,0.623655914,0.424908425,0.505446623
105,0.977558007,0.994301994,0.951818182,0.972596377,0.661094225,0.617924528,0.47985348,0.540206186
106,0.982502853,0.995300752,0.962727273,0.978743068,0.680851064,0.666666667,0.461538462,0.545454545
107,0.97793838,0.9943074,0.952727273,0.973073352,0.645896657,0.605263158,0.421245421,0.496760259
108,0.984404717,0.995322732,0.967272727,0.98109728,0.645896657,0.591743119,0.472527473,0.525458248
109,0.981361734,0.995287465,0.96,0.977325312,0.638297872,0.590673575,0.417582418,0.489270386
110,0.981361734,0.996222852,0.959090909,0.977304308,0.639817629,0.582568807,0.465201465,0.517311609
111,0.985165462,0.999059266,0.965454545,0.981969487,0.659574468,0.635359116,0.421245421,0.50660793
112,0.980981362,0.995283019,0.959090909,0.976851852,0.662613982,0.623188406,0.472527473,0.5375
113,0.979459871,0.995265152,0.955454545,0.974953618,0.639817629,0.597826087,0.402930403,0.481400438
114,0.979840243,0.991549296,0.96,0.97551963,0.651975684,0.613402062,0.435897436,0.509635974
115,0.973754279,0.998067633,0.939090909,0.967681499,0.662613982,0.637837838,0.432234432,0.515283843
116,0.980981362,0.993421053,0.960909091,0.97689464,0.639817629,0.583333333,0.461538462,0.515337423
117,0.982502853,0.990689013,0.967272727,0.978840846,0.638297872,0.588832487,0.424908425,0.493617021
118,0.977558007,0.99243141,0.953636364,0.972647195,0.656534954,0.615763547,0.457875458,0.525210084
119,0.97793838,0.993371212,0.953636364,0.97309833,0.661094225,0.623762376,0.461538462,0.530526316
120,0.974515025,0.992373689,0.946363636,0.968822708,0.650455927,0.611398964,0.432234432,0.506437768
121,0.983263598,0.992537313,0.967272727,0.979742173,0.64893617,0.6,0.461538462,0.52173913
122,0.979459871,0.994328922,0.956363636,0.97497683,0.61550152,0.548076923,0.417582418,0.474012474
123,0.983643971,0.995313964,0.965454545,0.980156899,0.665653495,0.629268293,0.472527473,0.539748954
124,0.984404717,0.997183099,0.965454545,0.981062356,0.670212766,0.644329897,0.457875458,0.535331906
125,0.980600989,0.995278565,0.958181818,0.976377953,0.659574468,0.628272251,0.43956044,0.517241379
126,0.982883226,0.999053926,0.96,0.979137691,0.658054711,0.612149533,0.47985348,0.53798768
127,0.985545835,0.996261682,0.969090909,0.982488479,0.64893617,0.599056604,0.465201465,0.52371134
128,0.984404717,0.995322732,0.967272727,0.98109728,0.664133739,0.634020619,0.450549451,0.526766595
129,0.980220616,0.993408663,0.959090909,0.975948196,0.636778116,0.579439252,0.454212454,0.509240246
130,0.98212248,0.998107852,0.959090909,0.978210478,0.658054711,0.62,0.454212454,0.524312896
131,0.984404717,0.997183099,0.965454545,0.981062356,0.656534954,0.616915423,0.454212454,0.523206751
132,0.981361734,0.995287465,0.96,0.977325312,0.650455927,0.61878453,0.41025641,0.49339207
133,0.976416889,0.993346008,0.95,0.971189591,0.62006079,0.553488372,0.435897436,0.487704918
134,0.983263598,0.993457944,0.966363636,0.979723502,0.647416413,0.604060914,0.435897436,0.506382979
135,0.979840243,0.994334278,0.957272727,0.975451598,0.650455927,0.617486339,0.413919414,0.495614035
136,0.978318752,0.995251662,0.952727273,0.973525314,0.645896657,0.605263158,0.421245421,0.496760259
137,0.977558007,0.991501416,0.954545455,0.972672534,0.656534954,0.612440191,0.468864469,0.531120332
138,0.978699125,0.993383743,0.955454545,0.974050046,0.638297872,0.592592593,0.41025641,0.484848485
139,0.982883226,0.992530345,0.966363636,0.979272225,0.661094225,0.628865979,0.446886447,0.52248394
140,0.979079498,0.99620133,0.953636364,0.97445425,0.655015198,0.617346939,0.443223443,0.515991471
141,0.978318752,0.990592662,0.957272727,0.973647712,0.656534954,0.625668449,0.428571429,0.508695652
142,0.978699125,0.993383743,0.955454545,0.974050046,0.617021277,0.554404145,0.391941392,0.459227468
143,0.981742107,0.990671642,0.965454545,0.977900552,0.645896657,0.596153846,0.454212454,0.515592516
