,precision_score(train),recall_score(train),accuracy_score(train),f1_score(train),precision_score(test),recall_score(test),accuracy_score(test),f1_score(test)
765,0.995159728944821,0.948339483394834,0.9767972613160898,0.9711856400566841,0.6649214659685864,0.43944636678200694,0.6565349544072948,0.5291666666666667
766,0.9933586337760911,0.9658671586715867,0.9832635983263598,0.979420018709074,0.6716417910447762,0.4671280276816609,0.6656534954407295,0.5510204081632654
767,0.9971181556195965,0.9575645756457565,0.9813617344998098,0.9769411764705883,0.6836734693877551,0.46366782006920415,0.6702127659574468,0.5525773195876289
768,0.9932367149758454,0.948339483394834,0.9760365157854698,0.9702689948088721,0.7035175879396985,0.4844290657439446,0.6838905775075987,0.5737704918032787
769,0.9941916747337851,0.9474169741697417,0.9760365157854698,0.9702409069437884,0.6703296703296703,0.42214532871972316,0.6550151975683891,0.5180467091295117
770,0.9913461538461539,0.9511070110701108,0.9764168885507798,0.9708097928436913,0.6505376344086021,0.4186851211072664,0.6458966565349544,0.5094736842105264
771,0.9904306220095693,0.9547970479704797,0.9775580068467098,0.9722874589008924,0.6994818652849741,0.4671280276816609,0.6778115501519757,0.5601659751037344
772,0.9961240310077519,0.948339483394834,0.9771776340813998,0.9716446124763705,0.702020202020202,0.4809688581314879,0.682370820668693,0.5708418891170431
773,0.9980897803247374,0.9640221402214022,0.9844047166222899,0.980760206475833,0.6530612244897959,0.4429065743944637,0.6519756838905775,0.5278350515463918
774,0.9952015355086372,0.9566420664206642,0.9802206162038798,0.9755409219190969,0.6842105263157895,0.49480968858131485,0.6778115501519757,0.5742971887550201
775,0.9971153846153846,0.9566420664206642,0.9809813617344998,0.9764595103578154,0.6521739130434783,0.4671280276816609,0.6565349544072948,0.5443548387096774
776,0.9913294797687862,0.9492619926199262,0.9756561430201598,0.9698397737983034,0.69377990430622,0.5017301038062284,0.6838905775075987,0.5823293172690762
777,0.997104247104247,0.9529520295202952,0.9794598706732598,0.9745283018867924,0.6865671641791045,0.47750865051903113,0.6747720364741642,0.563265306122449
778,0.9932692307692308,0.9529520295202952,0.9779383796120198,0.972693032015066,0.6519337016574586,0.4083044982698962,0.6443768996960486,0.502127659574468
779,0.9980544747081712,0.9464944649446494,0.9771776340813998,0.9715909090909091,0.6494845360824743,0.4359861591695502,0.648936170212766,0.5217391304347827
780,0.9961722488038277,0.9603321033210332,0.9821224800304298,0.977923907937999,0.6839378238341969,0.45674740484429066,0.668693009118541,0.5477178423236514
781,0.9980713596914176,0.9547970479704797,0.9806009889691898,0.975954738330976,0.6341463414634146,0.44982698961937717,0.6443768996960486,0.5263157894736843
782,0.9952198852772467,0.9603321033210332,0.9817421072651198,0.9774647887323944,0.6988636363636364,0.42560553633217996,0.6671732522796353,0.5290322580645161
783,0.9932950191570882,0.9566420664206642,0.9794598706732598,0.9746240601503761,0.6354679802955665,0.4463667820069204,0.6443768996960486,0.524390243902439
784,0.9922630560928434,0.9464944649446494,0.9748953974895398,0.9688385269121813,0.6544502617801047,0.43252595155709345,0.6504559270516718,0.5208333333333334
785,0.9895734597156398,0.9630996309963099,0.9806009889691898,0.9761570827489481,0.6285714285714286,0.45674740484429066,0.6428571428571429,0.529058116232465
786,0.9971126082771896,0.955719557195572,0.9806009889691898,0.9759773904851625,0.680628272251309,0.44982698961937717,0.6656534954407295,0.5416666666666667
787,0.9952426260704091,0.9649446494464945,0.9836439710916698,0.9798594847775176,0.6666666666666666,0.46366782006920415,0.662613981762918,0.5469387755102042
788,0.990521327014218,0.9640221402214022,0.9813617344998098,0.9770920991117344,0.6456310679611651,0.4602076124567474,0.6519756838905775,0.5373737373737373
789,0.9933460076045627,0.9640221402214022,0.9825028527957398,0.9784644194756553,0.7052631578947368,0.46366782006920415,0.6793313069908815,0.5594989561586639
790,0.9970873786407767,0.9474169741697417,0.9771776340813998,0.9716177861873225,0.7032967032967034,0.4429065743944637,0.6732522796352584,0.5435244161358812
791,0.997104247104247,0.9529520295202952,0.9794598706732598,0.9745283018867924,0.6446700507614214,0.43944636678200694,0.6474164133738601,0.5226337448559671
792,0.9961501443695862,0.9547970479704797,0.9798402434385698,0.9750353273669337,0.6978021978021978,0.43944636678200694,0.6702127659574468,0.5392781316348195
793,0.9952471482889734,0.9658671586715867,0.9840243438569798,0.9803370786516854,0.6507936507936508,0.42560553633217996,0.6474164133738601,0.5146443514644352
794,0.9923002887391723,0.9511070110701108,0.9767972613160898,0.971267074894018,0.7112299465240641,0.4602076124567474,0.6808510638297872,0.5588235294117647
795,0.9961722488038277,0.9603321033210332,0.9821224800304298,0.977923907937999,0.6739130434782609,0.4290657439446367,0.6580547112462006,0.5243128964059197
796,0.9951830443159922,0.9529520295202952,0.9786991251426398,0.9736098020735156,0.6568627450980392,0.46366782006920415,0.6580547112462006,0.5436105476673428
797,0.9932821497120922,0.9547970479704797,0.9786991251426398,0.973659454374412,0.6907216494845361,0.46366782006920415,0.6732522796352584,0.5548654244306418
798,0.9904580152671756,0.9575645756457565,0.9786991251426398,0.9737335834896811,0.6714285714285714,0.48788927335640137,0.6702127659574468,0.565130260521042
799,0.995164410058027,0.9492619926199262,0.9771776340813998,0.971671388101983,0.6684491978609626,0.43252595155709345,0.6565349544072948,0.5252100840336135
800,0.9932756964457252,0.9538745387453874,0.9783187523773298,0.9731764705882353,0.7027027027027027,0.44982698961937717,0.6747720364741642,0.5485232067510548
801,0.9933014354066986,0.9575645756457565,0.9798402434385698,0.9751056834194458,0.6594594594594595,0.42214532871972316,0.6504559270516718,0.5147679324894515
802,0.9951783992285439,0.9520295202952029,0.9783187523773298,0.9731258840169732,0.6650485436893204,0.4740484429065744,0.6641337386018237,0.5535353535353535
803,0.9942307692307693,0.9538745387453874,0.9786991251426398,0.9736346516007534,0.6497175141242938,0.39792387543252594,0.6413373860182371,0.4935622317596567
804,0.9952380952380953,0.9640221402214022,0.9832635983263598,0.979381443298969,0.7021276595744681,0.45674740484429066,0.6762917933130699,0.5534591194968552
805,0.9923298178331735,0.9547970479704797,0.9783187523773298,0.9732016925246827,0.6716417910447762,0.4671280276816609,0.6656534954407295,0.5510204081632654
806,0.9951550387596899,0.9474169741697417,0.9764168885507798,0.9706994328922496,0.6764705882352942,0.47750865051903113,0.6702127659574468,0.5598377281947261
807,0.9942857142857143,0.9630996309963099,0.9825028527957398,0.978444236176195,0.6855670103092784,0.4602076124567474,0.6702127659574468,0.5507246376811594
808,0.9942473633748802,0.9566420664206642,0.9798402434385698,0.9750822755054067,0.6538461538461539,0.47058823529411764,0.6580547112462006,0.5472837022132797
809,0.9952335557673975,0.9630996309963099,0.9828832255610498,0.9789029535864978,0.6373056994818653,0.42560553633217996,0.6413373860182371,0.5103734439834025
810,0.9971098265895953,0.9547970479704797,0.9802206162038798,0.9754948162111216,0.6631016042780749,0.4290657439446367,0.6534954407294833,0.5210084033613447
811,0.9980787704130644,0.9584870848708487,0.9821224800304298,0.9778823529411765,0.7011494252873564,0.42214532871972316,0.6671732522796353,0.5269978401727862
812,0.9923518164435946,0.9575645756457565,0.9794598706732598,0.9746478873239436,0.65625,0.4359861591695502,0.6519756838905775,0.5239085239085239
813,0.9971098265895953,0.9547970479704797,0.9802206162038798,0.9754948162111216,0.6613756613756614,0.43252595155709345,0.6534954407294833,0.5230125523012552
814,0.9942857142857143,0.9630996309963099,0.9825028527957398,0.978444236176195,0.6559139784946236,0.42214532871972316,0.648936170212766,0.5136842105263159
815,0.9904306220095693,0.9547970479704797,0.9775580068467098,0.9722874589008924,0.6582914572864321,0.4532871972318339,0.6565349544072948,0.5368852459016393
816,0.9942307692307693,0.9538745387453874,0.9786991251426398,0.9736346516007534,0.6701570680628273,0.4429065743944637,0.6595744680851063,0.5333333333333334
817,0.994269340974212,0.9603321033210332,0.9813617344998098,0.9770061004223369,0.6524064171122995,0.42214532871972316,0.6474164133738601,0.5126050420168068
818,0.9971209213051824,0.9584870848708487,0.9817421072651198,0.9774223894637818,0.6865671641791045,0.47750865051903113,0.6747720364741642,0.563265306122449
819,0.9952471482889734,0.9658671586715867,0.9840243438569798,0.9803370786516854,0.7027027027027027,0.44982698961937717,0.6747720364741642,0.5485232067510548
820,0.9942748091603053,0.9612546125461254,0.9817421072651198,0.9774859287054408,0.676056338028169,0.4982698961937716,0.6747720364741642,0.5737051792828685
821,0.9951830443159922,0.9529520295202952,0.9786991251426398,0.9736098020735156,0.6451612903225806,0.41522491349480967,0.6428571428571429,0.5052631578947367
822,0.9885714285714285,0.9575645756457565,0.9779383796120198,0.9728209934395502,0.6363636363636364,0.4359861591695502,0.6428571428571429,0.5174537987679673
823,0.9914204003813155,0.959409594095941,0.9798402434385698,0.9751523675574308,0.6802030456852792,0.46366782006920415,0.668693009118541,0.5514403292181069
824,0.996116504854369,0.9464944649446494,0.9764168885507798,0.9706717123935666,0.6704545454545454,0.4083044982698962,0.6519756838905775,0.5075268817204301
825,0.997078870496592,0.9446494464944649,0.9760365157854698,0.9701563240170537,0.6612903225806451,0.42560553633217996,0.6519756838905775,0.5178947368421053
826,0.9942028985507246,0.9492619926199262,0.9767972613160898,0.9712128362435112,0.6717948717948717,0.4532871972318339,0.662613981762918,0.5413223140495868
827,0.9971401334604385,0.9649446494464945,0.9844047166222899,0.9807782466010315,0.6613756613756614,0.43252595155709345,0.6534954407294833,0.5230125523012552
828,0.994263862332696,0.959409594095941,0.9809813617344998,0.9765258215962442,0.6875,0.4186851211072664,0.6610942249240122,0.5204301075268817
829,0.9990421455938697,0.9621771217712177,0.9840243438569798,0.9802631578947368,0.6802030456852792,0.46366782006920415,0.668693009118541,0.5514403292181069
830,0.9961389961389961,0.9520295202952029,0.9786991251426398,0.9735849056603774,0.6787564766839378,0.4532871972318339,0.6656534954407295,0.5435684647302904
831,0.9980694980694981,0.9538745387453874,0.9802206162038798,0.9754716981132074,0.712707182320442,0.4463667820069204,0.6778115501519757,0.5489361702127659
832,0.9905482041587902,0.966789667896679,0.9825028527957398,0.9785247432306257,0.6778846153846154,0.48788927335640137,0.6732522796352584,0.5674044265593562
833,0.9923518164435946,0.9575645756457565,0.9794598706732598,0.9746478873239436,0.7043010752688172,0.4532871972318339,0.6762917933130699,0.5515789473684211
834,0.9942965779467681,0.9649446494464945,0.9832635983263598,0.9794007490636705,0.6931216931216931,0.4532871972318339,0.6717325227963525,0.5481171548117155
835,0.9971153846153846,0.9566420664206642,0.9809813617344998,0.9764595103578154,0.6504854368932039,0.46366782006920415,0.6550151975683891,0.5414141414141415
836,0.9952335557673975,0.9630996309963099,0.9828832255610498,0.9789029535864978,0.6702702702702703,0.4290657439446367,0.6565349544072948,0.5232067510548524
837,0.9895138226882746,0.9575645756457565,0.9783187523773298,0.9732770745428974,0.6739130434782609,0.4290657439446367,0.6580547112462006,0.5243128964059197
838,0.9971126082771896,0.955719557195572,0.9806009889691898,0.9759773904851625,0.640625,0.42560553633217996,0.6428571428571429,0.5114345114345115
839,0.9886148007590133,0.9612546125461254,0.9794598706732598,0.9747427502338635,0.6424870466321243,0.4290657439446367,0.6443768996960486,0.5145228215767634
840,0.9952561669829222,0.9677121771217713,0.9847850893875999,0.981290926099158,0.6774193548387096,0.4359861591695502,0.6610942249240122,0.5305263157894737
841,0.9952290076335878,0.9621771217712177,0.9825028527957398,0.9784240150093808,0.6842105263157895,0.44982698961937717,0.6671732522796353,0.5427974947807932
842,0.9970873786407767,0.9474169741697417,0.9771776340813998,0.9716177861873225,0.6137566137566137,0.4013840830449827,0.6261398176291794,0.4853556485355649
843,0.9971098265895953,0.9547970479704797,0.9802206162038798,0.9754948162111216,0.6766169154228856,0.47058823529411764,0.668693009118541,0.5551020408163264
844,0.9961832061068703,0.9630996309963099,0.9832635983263598,0.9793621013133209,0.6134020618556701,0.4117647058823529,0.6276595744680851,0.4927536231884058
845,0.9980916030534351,0.9649446494464945,0.9847850893875999,0.9812382739212008,0.6731707317073171,0.47750865051903113,0.668693009118541,0.5587044534412956
846,0.9924314096499527,0.9677121771217713,0.9836439710916698,0.9799159271368519,0.6839378238341969,0.45674740484429066,0.668693009118541,0.5477178423236514
847,0.9961685823754789,0.959409594095941,0.9817421072651198,0.9774436090225564,0.6827956989247311,0.43944636678200694,0.6641337386018237,0.5347368421052632
848,0.9924741298212606,0.9732472324723247,0.9859262076835299,0.9827666511411272,0.6530612244897959,0.4429065743944637,0.6519756838905775,0.5278350515463918
849,0.9980750721847931,0.9566420664206642,0.9813617344998098,0.9769194536033914,0.6574074074074074,0.4913494809688581,0.6641337386018237,0.5623762376237624
850,0.994291151284491,0.9640221402214022,0.9828832255610498,0.9789227166276346,0.6810810810810811,0.4359861591695502,0.662613981762918,0.5316455696202531
851,0.9932950191570882,0.9566420664206642,0.9794598706732598,0.9746240601503761,0.6596858638743456,0.4359861591695502,0.6534954407294833,0.525
852,0.9923664122137404,0.959409594095941,0.9802206162038798,0.975609756097561,0.6515151515151515,0.4463667820069204,0.6519756838905775,0.5297741273100616
853,0.9961722488038277,0.9603321033210332,0.9821224800304298,0.977923907937999,0.6703296703296703,0.42214532871972316,0.6550151975683891,0.5180467091295117
854,0.9951969260326609,0.955719557195572,0.9798402434385698,0.9750588235294119,0.6822916666666666,0.4532871972318339,0.6671732522796353,0.5446985446985447
855,0.9932367149758454,0.948339483394834,0.9760365157854698,0.9702689948088721,0.676923076923077,0.45674740484429066,0.6656534954407295,0.5454545454545454
856,0.9961759082217974,0.9612546125461254,0.9825028527957398,0.9784037558685447,0.6611111111111111,0.4117647058823529,0.648936170212766,0.5074626865671642
857,0.994291151284491,0.9640221402214022,0.9828832255610498,0.9789227166276346,0.6813186813186813,0.4290657439446367,0.6610942249240122,0.5265392781316348
858,0.9971563981042654,0.9704797047970479,0.9866869532141499,0.9836372136512388,0.6483516483516484,0.4083044982698962,0.6428571428571429,0.5010615711252654
859,0.9971014492753624,0.9520295202952029,0.9790794979079498,0.9740443605474279,0.6935483870967742,0.4463667820069204,0.6702127659574468,0.5431578947368422
860,0.995164410058027,0.9492619926199262,0.9771776340813998,0.971671388101983,0.6596858638743456,0.4359861591695502,0.6534954407294833,0.525
861,0.9876893939393939,0.9621771217712177,0.9794598706732598,0.9747663551401868,0.6446700507614214,0.43944636678200694,0.6474164133738601,0.5226337448559671
862,0.9943235572374646,0.9695571955719557,0.9851654621529099,0.9817842129845867,0.7029702970297029,0.4913494809688581,0.6854103343465046,0.5784114052953157
863,0.9952061361457335,0.9575645756457565,0.9806009889691898,0.9760225669957688,0.6931216931216931,0.4532871972318339,0.6717325227963525,0.5481171548117155
864,0.9971509971509972,0.9686346863468634,0.9859262076835299,0.982686008423023,0.6649214659685864,0.43944636678200694,0.6565349544072948,0.5291666666666667
865,0.9952335557673975,0.9630996309963099,0.9828832255610498,0.9789029535864978,0.6830601092896175,0.43252595155709345,0.662613981762918,0.5296610169491525
866,0.9951690821256038,0.9501845018450185,0.9775580068467098,0.9721566776781501,0.6341463414634146,0.44982698961937717,0.6443768996960486,0.5263157894736843
867,0.9971098265895953,0.9547970479704797,0.9802206162038798,0.9754948162111216,0.648936170212766,0.42214532871972316,0.6458966565349544,0.5115303983228512
868,0.9932756964457252,0.9538745387453874,0.9783187523773298,0.9731764705882353,0.639344262295082,0.40484429065743943,0.6382978723404256,0.4957627118644068
869,0.9933142311365807,0.959409594095941,0.9806009889691898,0.9760675739089629,0.6857142857142857,0.41522491349480967,0.6595744680851063,0.5172413793103449
870,0.99146110056926,0.9640221402214022,0.9817421072651198,0.9775491113189897,0.6808510638297872,0.4429065743944637,0.6641337386018237,0.5366876310272537
871,0.9980694980694981,0.9538745387453874,0.9802206162038798,0.9754716981132074,0.6825396825396826,0.4463667820069204,0.6656534954407295,0.5397489539748954
872,0.9913461538461539,0.9511070110701108,0.9764168885507798,0.9708097928436913,0.6398104265402843,0.4671280276816609,0.6504559270516718,0.54
873,0.9932756964457252,0.9538745387453874,0.9783187523773298,0.9731764705882353,0.6555555555555556,0.4083044982698962,0.6458966565349544,0.5031982942430704
874,0.9913544668587896,0.9520295202952029,0.9767972613160898,0.9712941176470588,0.6825396825396826,0.4463667820069204,0.6656534954407295,0.5397489539748954
875,0.9952244508118434,0.9612546125461254,0.9821224800304298,0.9779446269357109,0.679144385026738,0.43944636678200694,0.662613981762918,0.5336134453781513
876,0.9961832061068703,0.9630996309963099,0.9832635983263598,0.9793621013133209,0.6485148514851485,0.4532871972318339,0.6519756838905775,0.5336048879837068
877,0.9952335557673975,0.9630996309963099,0.9828832255610498,0.9789029535864978,0.7068062827225131,0.4671280276816609,0.6808510638297872,0.5625
878,0.9961649089165868,0.9584870848708487,0.9813617344998098,0.9769628584861306,0.6473684210526316,0.42560553633217996,0.6458966565349544,0.5135699373695198
879,0.9990338164251208,0.9538745387453874,0.9806009889691898,0.9759320434167059,0.6847826086956522,0.4359861591695502,0.6641337386018237,0.5327695560253699
880,0.9905033238366572,0.9621771217712177,0.9806009889691898,0.9761347683668694,0.6745283018867925,0.49480968858131485,0.6732522796352584,0.5708582834331336
881,0.9952290076335878,0.9621771217712177,0.9825028527957398,0.9784240150093808,0.6702127659574468,0.4359861591695502,0.6580547112462006,0.5283018867924529
882,0.9932236205227493,0.9464944649446494,0.9752757702548498,0.9692961738308928,0.6842105263157895,0.44982698961937717,0.6671732522796353,0.5427974947807932
883,0.9942857142857143,0.9630996309963099,0.9825028527957398,0.978444236176195,0.6685393258426966,0.4117647058823529,0.6519756838905775,0.5096359743040684
884,0.9933269780743565,0.9612546125461254,0.9813617344998098,0.9770276605719643,0.689119170984456,0.4602076124567474,0.6717325227963525,0.5518672199170125
885,0.9913793103448276,0.9547970479704797,0.9779383796120198,0.9727443609022557,0.6923076923076923,0.4671280276816609,0.6747720364741642,0.5578512396694215
886,0.9923954372623575,0.9630996309963099,0.9817421072651198,0.9775280898876405,0.6620370370370371,0.49480968858131485,0.6671732522796353,0.5663366336633664
887,0.9951969260326609,0.955719557195572,0.9798402434385698,0.9750588235294119,0.6910112359550562,0.42560553633217996,0.6641337386018237,0.5267665952890793
888,0.9961759082217974,0.9612546125461254,0.9825028527957398,0.9784037558685447,0.6331658291457286,0.4359861591695502,0.6413373860182371,0.5163934426229508
889,0.9961649089165868,0.9584870848708487,0.9813617344998098,0.9769628584861306,0.6428571428571429,0.40484429065743943,0.6398176291793313,0.4968152866242038
890,0.9952015355086372,0.9566420664206642,0.9802206162038798,0.9755409219190969,0.6717171717171717,0.4602076124567474,0.6641337386018237,0.5462012320328542
891,0.997134670487106,0.9630996309963099,0.9836439710916698,0.979821679962459,0.689119170984456,0.4602076124567474,0.6717325227963525,0.5518672199170125
892,0.9942140790742526,0.9511070110701108,0.9775580068467098,0.9721829325789723,0.6850828729281768,0.4290657439446367,0.662613981762918,0.5276595744680852
