,accuracy_score(train),precision_score(train),recall_score(train),f1_score(train),accuracy_score(test),precision_score(test),recall_score(test),f1_score(test)
261,0.995625,0.998062016,0.988483685,0.993249759,0.8875,0.950980392,0.708029197,0.811715481
262,0.995625,1,0.986564299,0.993236715,0.8975,0.961538462,0.729927007,0.829875519
263,0.9975,0.998073218,0.994241843,0.996153846,0.905,0.971428571,0.744525547,0.842975207
264,0.994375,1,0.982725528,0.991287512,0.8925,0.960784314,0.715328467,0.820083682
265,0.993125,0.996108949,0.982725528,0.989371981,0.8875,0.925925926,0.729927007,0.816326531
266,0.993125,1,0.978886756,0.989330747,0.8725,0.905660377,0.700729927,0.790123457
267,0.996875,1,0.990403071,0.995178399,0.9025,0.980392157,0.729927007,0.836820084
268,0.995625,1,0.986564299,0.993236715,0.8875,0.96,0.700729927,0.810126582
269,0.995625,0.996138996,0.990403071,0.993262753,0.9025,0.945454545,0.759124088,0.842105263
270,0.99625,1,0.988483685,0.994208494,0.9,0.961904762,0.737226277,0.834710744
271,0.99625,0.998065764,0.990403071,0.994219653,0.89,0.934579439,0.729927007,0.819672131
272,0.995625,0.998062016,0.988483685,0.993249759,0.8925,0.97,0.708029197,0.818565401
273,0.99375,1,0.980806142,0.990310078,0.88,0.923809524,0.708029197,0.801652893
274,0.99875,1,0.996161228,0.998076923,0.9,0.961904762,0.737226277,0.834710744
275,0.995625,1,0.986564299,0.993236715,0.8925,0.943396226,0.729927007,0.823045267
276,0.99625,1,0.988483685,0.994208494,0.89,0.942857143,0.722627737,0.818181818
277,0.993125,1,0.978886756,0.989330747,0.8975,0.961538462,0.729927007,0.829875519
278,0.996875,1,0.990403071,0.995178399,0.8975,0.961538462,0.729927007,0.829875519
279,0.993125,0.998046875,0.980806142,0.989351404,0.8875,0.933962264,0.722627737,0.814814815
280,0.991875,0.998039216,0.97696737,0.987390883,0.8775,0.931372549,0.693430657,0.794979079
281,0.995625,0.998062016,0.988483685,0.993249759,0.8875,0.950980392,0.708029197,0.811715481
282,0.995,0.998058252,0.986564299,0.992277992,0.885,0.933333333,0.715328467,0.809917355
283,0.995625,1,0.986564299,0.993236715,0.8975,0.961538462,0.729927007,0.829875519
284,0.996875,1,0.990403071,0.995178399,0.8925,0.927272727,0.744525547,0.825910931
285,0.9925,1,0.97696737,0.988349515,0.885,0.941747573,0.708029197,0.808333333
286,0.990625,0.998031496,0.973128599,0.985422741,0.8775,0.948979592,0.678832117,0.791489362
287,0.995625,1,0.986564299,0.993236715,0.8925,0.960784314,0.715328467,0.820083682
288,0.995,1,0.984644914,0.992263056,0.9,0.98019802,0.722627737,0.831932773
289,0.9925,0.998043053,0.978886756,0.988372093,0.895,0.97029703,0.715328467,0.823529412
290,0.993125,0.996108949,0.982725528,0.989371981,0.8975,0.961538462,0.729927007,0.829875519
291,0.99375,1,0.980806142,0.990310078,0.875,0.957894737,0.664233577,0.784482759
292,0.9975,1,0.992322457,0.996146435,0.9,0.944954128,0.751824818,0.837398374
293,0.995625,0.998062016,0.988483685,0.993249759,0.8975,0.952830189,0.737226277,0.83127572
294,0.998125,1,0.994241843,0.997112608,0.9025,0.962264151,0.744525547,0.839506173
295,0.994375,0.994208494,0.988483685,0.991337825,0.8875,0.933962264,0.722627737,0.814814815
296,0.995,0.996131528,0.988483685,0.992292871,0.885,0.941747573,0.708029197,0.808333333
297,0.9975,0.998073218,0.994241843,0.996153846,0.9,0.953271028,0.744525547,0.836065574
298,0.995625,1,0.986564299,0.993236715,0.8775,0.94,0.686131387,0.793248945
299,0.996875,1,0.990403071,0.995178399,0.9175,0.964285714,0.788321168,0.86746988
300,0.995,1,0.984644914,0.992263056,0.885,0.95959596,0.693430657,0.805084746
301,0.994375,1,0.982725528,0.991287512,0.8975,0.961538462,0.729927007,0.829875519
302,0.99375,1,0.980806142,0.990310078,0.875,0.891891892,0.722627737,0.798387097
303,0.995625,1,0.986564299,0.993236715,0.8875,0.910714286,0.744525547,0.819277108
304,0.993125,1,0.978886756,0.989330747,0.8775,0.923076923,0.700729927,0.796680498
305,0.99875,1,0.996161228,0.998076923,0.89,0.942857143,0.722627737,0.818181818
306,0.996875,1,0.990403071,0.995178399,0.8975,0.944444444,0.744525547,0.832653061
307,0.994375,0.998054475,0.984644914,0.991304348,0.8775,0.968085106,0.664233577,0.787878788
308,0.995,0.998058252,0.986564299,0.992277992,0.89,0.934579439,0.729927007,0.819672131
309,0.995625,0.998062016,0.988483685,0.993249759,0.8775,0.91509434,0.708029197,0.798353909
310,0.996875,0.998069498,0.992322457,0.99518768,0.9075,0.938596491,0.781021898,0.852589641
311,0.995,0.998058252,0.986564299,0.992277992,0.88,0.91588785,0.715328467,0.803278689
312,0.995,1,0.984644914,0.992263056,0.9,0.98019802,0.722627737,0.831932773
313,0.994375,1,0.982725528,0.991287512,0.8875,0.96,0.700729927,0.810126582
314,0.994375,0.996124031,0.986564299,0.991321119,0.8825,0.909090909,0.729927007,0.809716599
315,0.99625,1,0.988483685,0.994208494,0.885,0.941747573,0.708029197,0.808333333
316,0.99625,0.998065764,0.990403071,0.994219653,0.9,0.953271028,0.744525547,0.836065574
317,0.990625,0.998031496,0.973128599,0.985422741,0.8675,0.928571429,0.664233577,0.774468085
318,0.995,0.998058252,0.986564299,0.992277992,0.89,0.96969697,0.700729927,0.813559322
319,0.995,0.998058252,0.986564299,0.992277992,0.9,0.98989899,0.715328467,0.830508475
320,0.9975,1,0.992322457,0.996146435,0.9,0.98019802,0.722627737,0.831932773
321,0.995625,0.996138996,0.990403071,0.993262753,0.9025,0.962264151,0.744525547,0.839506173
322,0.99375,1,0.980806142,0.990310078,0.88,0.958762887,0.678832117,0.794871795
323,0.99375,1,0.980806142,0.990310078,0.89,1,0.678832117,0.808695652
324,0.995625,1,0.986564299,0.993236715,0.9075,0.962962963,0.759124088,0.848979592
325,0.996875,1,0.990403071,0.995178399,0.9025,0.945454545,0.759124088,0.842105263
326,0.9975,1,0.992322457,0.996146435,0.9,0.961904762,0.737226277,0.834710744
327,0.995,1,0.984644914,0.992263056,0.885,0.941747573,0.708029197,0.808333333
