,train_accuracy_score,train_reccall_score,train_precision_score,train_f1_score,test_accuracy_score,test_reccall_score,test_precision_score,test_f1_score
272,0.9923929580525973,0.9986357435197817,0.9779559118236473,0.9881876476544044,0.8991383679675621,0.8837209302325582,0.7663865546218488,0.8208820882088209
273,0.9921756139969572,0.9979550102249489,0.9779559118236473,0.9878542510121457,0.8935631018753167,0.8737864077669902,0.7563025210084033,0.8108108108108107
274,0.9930449902195175,0.995937711577522,0.9826319305277221,0.9892400806993947,0.9036999493157628,0.8916827852998066,0.7747899159663866,0.8291366906474821
275,0.9926103021082373,0.9986366734832992,0.978623914495658,0.9885290148448042,0.8996452103395844,0.8899803536345776,0.761344537815126,0.8206521739130435
276,0.9941317104977179,0.9986431478968792,0.9832999331997327,0.9909121507909795,0.9052204764318297,0.8953488372093024,0.7764705882352941,0.8316831683168316
277,0.9913062377743969,0.998631074606434,0.9746158984635939,0.9864773495605139,0.8935631018753167,0.8811881188118812,0.7478991596638656,0.8090909090909092
278,0.9936970223864378,0.998641304347826,0.9819639278557114,0.9902324014819804,0.9011657374556513,0.8937007874015748,0.7630252100840336,0.8232094288304623
279,0.9934796783307976,0.9979633401221996,0.9819639278557114,0.9898989898989898,0.8966041561074506,0.8871287128712871,0.7529411764705882,0.8145454545454547
280,0.9921756139969572,0.9966009517335146,0.9792919171676687,0.9878706199460916,0.8986315255955398,0.8942115768463074,0.7529411764705882,0.8175182481751824
281,0.9923929580525973,0.9972789115646259,0.9792919171676687,0.9882035726322886,0.8960973137354283,0.8764478764478765,0.7630252100840336,0.8158131176999102
282,0.9932623342751575,0.9993188010899182,0.9799599198396793,0.9895446880269814,0.8981246832235175,0.8908730158730159,0.7546218487394958,0.8171064604185624
283,0.9932623342751575,1.0,0.9792919171676687,0.9895376307796152,0.9021794221996959,0.9036144578313253,0.7563025210084033,0.8234217749313815
284,0.9939143664420778,0.9986422267481331,0.9826319305277221,0.9905723905723907,0.895590471363406,0.8791423001949318,0.7579831932773109,0.8140794223826715
285,0.9930449902195175,1.0,0.978623914495658,0.9891964888588791,0.9036999493157628,0.9074446680080482,0.7579831932773109,0.826007326007326
286,0.9932623342751575,0.9972862957937585,0.9819639278557114,0.9895658027600134,0.9031931069437404,0.904,0.7596638655462185,0.8255707762557077
287,0.9934796783307976,0.9979633401221996,0.9819639278557114,0.9898989898989898,0.8915357323872276,0.8699029126213592,0.7529411764705882,0.8072072072072073
288,0.9936970223864378,0.998641304347826,0.9819639278557114,0.9902324014819804,0.8920425747592499,0.8715953307392996,0.7529411764705882,0.8079350766456267
289,0.994349054553358,0.997968855788761,0.9846359385437542,0.9912575655682583,0.900658895083629,0.9079754601226994,0.746218487394958,0.8191881918819187
290,0.991740925885677,0.9986329460013671,0.9759519038076152,0.9871621621621621,0.9047136340598074,0.898238747553816,0.7714285714285715,0.83001808318264
291,0.9941317104977179,0.9993206521739131,0.9826319305277221,0.9909060289659819,0.9011657374556513,0.898406374501992,0.7579831932773109,0.8222424794895168
292,0.9923929580525973,0.9986357435197817,0.9779559118236473,0.9881876476544044,0.9052204764318297,0.908,0.7630252100840336,0.8292237442922376
293,0.991740925885677,0.9979522184300341,0.9766199064796259,0.9871708305199189,0.900658895083629,0.9014084507042254,0.7529411764705882,0.8205128205128205
294,0.9939143664420778,0.9993201903467029,0.9819639278557114,0.9905660377358491,0.9047136340598074,0.8966861598440545,0.773109243697479,0.8303249097472923
295,0.9947837426646381,1.0,0.9839679358717435,0.9919191919191919,0.910795742524075,0.9067961165048544,0.7848739495798319,0.8414414414414414
296,0.9934796783307976,0.9979633401221996,0.9819639278557114,0.9898989898989898,0.905727318803852,0.9001956947162426,0.773109243697479,0.8318264014466545
297,0.9919582699413171,1.0,0.9752839011356046,0.9874873182279338,0.9031931069437404,0.9007936507936508,0.7630252100840336,0.8262056414922657
298,0.9956531188871984,1.0,0.9866399465597863,0.9932750504371217,0.915864166244298,0.9350912778904665,0.7747899159663866,0.8474264705882353
299,0.9934796783307976,0.9993192648059904,0.9806279225116901,0.9898853674983141,0.8945767866193614,0.8893360160965795,0.7428571428571429,0.8095238095238095
300,0.9954357748315583,1.0,0.9859719438877755,0.9929364278506558,0.9011657374556513,0.9065040650406504,0.7495798319327731,0.8206071757129715
301,0.9941317104977179,0.9979674796747967,0.9839679358717435,0.9909182643794147,0.9062341611758743,0.9035433070866141,0.7714285714285715,0.8322756119673617
302,0.991523581830037,0.9979508196721312,0.9759519038076152,0.9868287740628165,0.9042067916877851,0.9092741935483871,0.7579831932773109,0.8267644362969753
