,accuracy_score(train),f1_score(train),accuracy_score(test),f1_score(test)
542,0.986602174,0.9815675,0.759307744,0.621334823
543,0.986062267,0.980808888,0.760047334,0.623479714
544,0.986128831,0.980906958,0.758316693,0.619872973
545,0.986827751,0.981874434,0.759707122,0.620807171
546,0.986291542,0.981128618,0.759899416,0.621666977
547,0.986565194,0.981509474,0.760062126,0.622916521
548,0.98668353,0.981676259,0.75879003,0.620246385
549,0.986151019,0.980938275,0.759337327,0.620604421
550,0.986469046,0.981377713,0.759381703,0.621970208
551,0.986372898,0.981239468,0.760431921,0.622189045
552,0.985929139,0.980621438,0.757680645,0.618117395
553,0.986110341,0.980876153,0.757429184,0.617408954
554,0.98623977,0.981050788,0.75960358,0.621976182
555,0.986099247,0.980859222,0.759056283,0.6194959
556,0.986021589,0.98075278,0.761067968,0.62314817
557,0.98629524,0.981139565,0.760461504,0.621281572
558,0.986247166,0.981070034,0.759411286,0.619949996
559,0.986409878,0.981300089,0.760698173,0.622837693
560,0.986343314,0.981203141,0.762059019,0.62642824
561,0.985881065,0.980555527,0.760712965,0.624149067
562,0.986091851,0.980850208,0.760683381,0.622523973
563,0.986446858,0.981346227,0.758745655,0.620309154
564,0.986158415,0.980938364,0.760579839,0.621910769
565,0.986568892,0.981521053,0.760298794,0.622164191
566,0.986102945,0.980867529,0.759751498,0.620620387
567,0.986354408,0.981216021,0.759766289,0.621818605
568,0.9863692,0.981237147,0.760565047,0.62309358
569,0.98638769,0.981262503,0.759011907,0.620533843
570,0.986114039,0.980887375,0.760683381,0.62331494
571,0.98657259,0.98152097,0.75772502,0.617857726
572,0.986376596,0.9812458,0.760254419,0.623944316
573,0.986409878,0.981291331,0.760298794,0.623481029
574,0.98625826,0.981082897,0.760106501,0.621958042
575,0.986280448,0.981113826,0.757784188,0.618999977
576,0.986187999,0.980987045,0.761171511,0.624127014
577,0.986365502,0.981230241,0.761940685,0.625790551
578,0.986587382,0.981539072,0.760150876,0.622248107
579,0.986361804,0.98122582,0.759677539,0.620671943
580,0.986302636,0.98114245,0.758153983,0.61850763
581,0.986483838,0.981397692,0.759307744,0.621087928
582,0.98651712,0.981448125,0.759973375,0.623249983
583,0.98622128,0.981025615,0.759011907,0.620286207
584,0.986509724,0.981435681,0.757858147,0.617093937
585,0.986343314,0.981204672,0.758582945,0.619512764
586,0.985973515,0.980690224,0.759026699,0.620282964
587,0.985925441,0.9806198,0.759381703,0.620877712
588,0.986317428,0.981163773,0.759248576,0.620729832
589,0.986147321,0.980922795,0.760150876,0.623020947
590,0.98631373,0.981161272,0.761008801,0.623879694
591,0.986469046,0.981379798,0.759544412,0.621125251
592,0.986543006,0.981484402,0.758863989,0.622324159
593,0.98642467,0.98131645,0.760786924,0.623223522
594,0.986261958,0.981088277,0.758804822,0.620684842
595,0.986358106,0.98122178,0.759529621,0.622395652
596,0.986073361,0.980825238,0.759529621,0.619068819
597,0.986358106,0.981219677,0.758301901,0.617258503
598,0.987238228,0.982452929,0.761437763,0.625904621
599,0.986250864,0.981074065,0.760269211,0.624359717
600,0.9863692,0.981238484,0.759973375,0.622408377
601,0.985966119,0.980672564,0.760624214,0.623607396
602,0.986291542,0.981128041,0.758597737,0.618923084
603,0.986162113,0.980949957,0.760624214,0.624236655
604,0.986713113,0.981716594,0.759455662,0.621620364
605,0.986753791,0.981775444,0.759869832,0.620292838
606,0.986524516,0.981450184,0.759352119,0.621025414
607,0.985844085,0.980502613,0.760269211,0.621747147
608,0.98664655,0.981631355,0.758701279,0.620088963
609,0.986909107,0.981994629,0.760476296,0.623829767
610,0.986280448,0.981115364,0.759189409,0.620760343
611,0.986232374,0.981039444,0.760639006,0.623306485
612,0.986398784,0.981276916,0.760461504,0.623412865
613,0.986051173,0.980792341,0.760786924,0.623556797
614,0.98653561,0.981470832,0.759218993,0.621881533
615,0.986543006,0.981483083,0.75960358,0.622116815
616,0.986457952,0.981361971,0.758553361,0.62017452
617,0.98642467,0.981309601,0.761067968,0.623288789
618,0.98649863,0.981417672,0.759736706,0.622123997
619,0.986284146,0.981114975,0.760476296,0.622373545
620,0.985906951,0.98058653,0.76001775,0.622135271
621,0.986635456,0.981602712,0.759973375,0.62293482
622,0.986195395,0.980997613,0.759218993,0.620859925
623,0.986080757,0.980834445,0.758242734,0.619304947
624,0.986328522,0.9811801,0.761260262,0.62470353
625,0.98642467,0.981320443,0.75969233,0.621834264
626,0.986731603,0.981747517,0.760446713,0.623765826
627,0.986317428,0.981170483,0.758730863,0.61876826
628,0.986698321,0.981701641,0.761097552,0.624159356
629,0.986465348,0.98137196,0.759766289,0.622924938
630,0.986557798,0.981498165,0.76034317,0.621413216
631,0.986250864,0.981073487,0.760964426,0.623801099
632,0.986095549,0.980853252,0.758242734,0.618166526
633,0.986339616,0.981198147,0.761866726,0.625212432
634,0.986454254,0.981356027,0.76140818,0.624744091
635,0.986731603,0.981741016,0.759973375,0.622671782
636,0.986173207,0.980963388,0.759337327,0.621293236
637,0.98659108,0.981541813,0.761112344,0.624505929
638,0.986254562,0.981074627,0.758479402,0.619960897
639,0.986702019,0.981702725,0.760136085,0.622620433
640,0.987167967,0.982354257,0.760683381,0.62320967
641,0.986650248,0.98163747,0.758124399,0.618727849
642,0.986306334,0.981147637,0.759411286,0.621682599
643,0.986428368,0.981321634,0.760683381,0.623665418
644,0.986151019,0.980932063,0.761422972,0.623550006
645,0.986151019,0.980935946,0.758094815,0.618396491
646,0.986051173,0.980793515,0.759988167,0.621595149
647,0.986065965,0.980817789,0.758804822,0.619125479
648,0.986539308,0.981476581,0.76066859,0.623335506
649,0.98622128,0.98102774,0.75862732,0.619857429
650,0.986361804,0.981227158,0.761496931,0.623886167
651,0.986254562,0.981073278,0.759426078,0.621503374
652,0.986195395,0.980993356,0.761215886,0.622076554
653,0.986321126,0.981163206,0.758080024,0.618043392
654,0.986502328,0.981426449,0.760076917,0.622386739
655,0.98633222,0.981188351,0.759751498,0.62113366
656,0.98648014,0.981390424,0.759100658,0.621449491
657,0.986354408,0.981223285,0.759263368,0.620071434
658,0.986232374,0.981040603,0.760195252,0.623711819
659,0.986483838,0.981401668,0.759322535,0.62053686
660,0.986151019,0.980931092,0.75960358,0.622643262
661,0.985862575,0.980525798,0.758301901,0.618117229
662,0.985851481,0.980510616,0.759366911,0.621004566
663,0.985851481,0.980513197,0.760727757,0.622232602
664,0.986561496,0.981510125,0.757946897,0.619105256
665,0.986151019,0.980933422,0.759485245,0.621349728
666,0.986162113,0.980950345,0.758272317,0.620059518
667,0.98651712,0.981445104,0.760964426,0.624570207
668,0.986694623,0.981691617,0.75985504,0.621975924
669,0.986151019,0.980930704,0.761008801,0.624229597
670,0.986347012,0.981204692,0.75960358,0.620847331
671,0.98662806,0.981601897,0.759721914,0.622127105
672,0.986457952,0.981365764,0.759781081,0.622114669
673,0.986472744,0.981382708,0.759352119,0.621888582
674,0.986531912,0.981462819,0.759307744,0.620946701
675,0.986402482,0.981288008,0.758390652,0.619697322
676,0.986668738,0.981657398,0.759145034,0.620274714
677,0.986335918,0.981189898,0.760284003,0.622184921
678,0.98666504,0.981650723,0.762162562,0.624664441
679,0.986391388,0.981272265,0.756674802,0.617014342
680,0.986483838,0.981394094,0.761541306,0.626040966
681,0.98631373,0.981160697,0.760047334,0.621122945
682,0.986428368,0.981316309,0.758701279,0.620301189
683,0.986383992,0.981258462,0.760239627,0.622967598
684,0.986091851,0.980847477,0.759988167,0.621718655
685,0.986450556,0.981350463,0.759707122,0.621037161
686,0.986065965,0.980815641,0.759485245,0.620572175
687,0.986365502,0.981230432,0.761038385,0.62359328
688,0.986273052,0.98110403,0.756630427,0.61579058
689,0.986543006,0.981475354,0.759633163,0.622180888
690,0.986084455,0.980837683,0.75895274,0.620015856
691,0.986195395,0.980992581,0.760594631,0.621801612
692,0.986110341,0.980877906,0.757370017,0.617583289
693,0.986054871,0.980795575,0.75969233,0.62125239
694,0.986579986,0.981530397,0.760239627,0.621647487
695,0.986642852,0.981619817,0.759500037,0.621046498
696,0.986557798,0.981501366,0.758065232,0.618510053
697,0.986450556,0.98135369,0.76092005,0.62480559
698,0.986361804,0.981225628,0.761437763,0.624493597
699,0.986528214,0.981461598,0.758686488,0.618885203
700,0.986413576,0.981297088,0.757591894,0.619096318
701,0.98622128,0.981032763,0.759588788,0.622049624
702,0.986328522,0.9811801,0.76108276,0.622933981
703,0.98638769,0.981269177,0.759677539,0.621449708
704,0.986457952,0.981361402,0.75911545,0.621428737
705,0.986417274,0.9813057,0.760106501,0.621251752
706,0.986077059,0.980827694,0.759618371,0.621603372
707,0.986524516,0.981455659,0.759470453,0.620717001
708,0.986310032,0.981158196,0.758997116,0.621682495
709,0.986494932,0.981414002,0.760846091,0.623860041
710,0.986483838,0.98139845,0.761186303,0.623545597
711,0.986450556,0.981348944,0.760002958,0.622015143
712,0.98623977,0.981056576,0.76075734,0.622102804
713,0.986546704,0.981492033,0.760032542,0.622026514
714,0.986642852,0.981623184,0.761289845,0.622520584
715,0.986372898,0.981246151,0.758878781,0.620545171
716,0.986605872,0.981570056,0.761067968,0.62421775
717,0.986073361,0.980821722,0.759588788,0.622032046
718,0.986687228,0.981685541,0.758893573,0.621317721
719,0.986273052,0.981102298,0.760624214,0.622166188
720,0.986487536,0.981405526,0.762044227,0.627520897
721,0.986653946,0.98162751,0.760076917,0.622702954
722,0.986709415,0.981717739,0.75927816,0.622325366
723,0.986077059,0.980827694,0.761156719,0.624129984
724,0.986236072,0.981046178,0.759914208,0.621540327
725,0.986217582,0.981033368,0.759618371,0.621321216
726,0.98640618,0.981291288,0.757458768,0.617723172
727,0.986206488,0.981010854,0.760890467,0.623728498
