,accuracy_score(train),f1_score(train),accuracy_score(test),f1_score(test)
229,0.9863692,0.981202126,0.757325642,0.618731118
230,0.98662806,0.981556666,0.757355225,0.618901589
231,0.986306334,0.981107239,0.757384809,0.618717746
232,0.98642467,0.981274134,0.758035648,0.619899619
233,0.986672436,0.981623308,0.756290215,0.616801563
234,0.98644316,0.981303359,0.756023963,0.617326342
235,0.9865541,0.981458629,0.755654168,0.616363594
236,0.986324824,0.981136118,0.757488351,0.619420135
237,0.985992005,0.980672483,0.757784188,0.619124043
238,0.986040079,0.980741859,0.756068338,0.616746845
239,0.986550402,0.981452867,0.755979587,0.616821127
240,0.986202791,0.980966908,0.756807928,0.618015381
241,0.986561496,0.981472795,0.756186673,0.616451425
242,0.986191697,0.980950923,0.756068338,0.616764658
243,0.986376596,0.981211175,0.757651061,0.619701964
244,0.986361804,0.981192118,0.757961689,0.620039475
245,0.986025287,0.980717125,0.757443976,0.62008248
246,0.986114039,0.980840957,0.754677908,0.614418897
247,0.986065965,0.980769231,0.755595,0.616466656
248,0.986147321,0.98089029,0.757251683,0.618499663
249,0.986380294,0.981214647,0.757828563,0.620227325
250,0.986265656,0.981051987,0.757059389,0.618295064
251,0.986476442,0.981351827,0.755831669,0.615463461
252,0.986491234,0.981368044,0.756216256,0.616480115
253,0.986469046,0.981338964,0.757946897,0.620271964
254,0.985980911,0.98064503,0.757932106,0.620134166
255,0.986391388,0.981231576,0.75879003,0.621866667
256,0.986306334,0.981105311,0.758168774,0.620875171
257,0.98651712,0.981409531,0.755816877,0.616325013
258,0.98638769,0.981227337,0.757177724,0.618161518
259,0.986487536,0.981361137,0.755994379,0.617492928
260,0.986195395,0.980954567,0.75518083,0.614653908
261,0.98662806,0.981559112,0.757088973,0.618536585
262,0.986491234,0.981372034,0.755787294,0.616617128
263,0.986269354,0.981059311,0.757591894,0.619379413
264,0.986232374,0.981016628,0.75501812,0.614783458
265,0.985766427,0.980353925,0.75640855,0.616148431
266,0.98631373,0.981122066,0.756127505,0.617515369
267,0.986232374,0.981005587,0.756171881,0.615488687
268,0.985918045,0.980567264,0.757296058,0.617600447
269,0.986383992,0.981221184,0.75550625,0.616095692
270,0.986269354,0.981064914,0.757991273,0.619166221
271,0.986117737,0.980844202,0.754870202,0.613958256
272,0.985921743,0.980579008,0.7546927,0.615470228
273,0.986298938,0.981097421,0.756645219,0.618318486
274,0.986594778,0.981512176,0.758405443,0.621509513
